"moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"Divitura/W",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
"Ambalantot",0,0,1,2,0,0,0,0,1,1,0,0,0,2,2,1,1,0,2,0,0,1,0,2,1,3,0,5,3,1,0,4,2,0,0,0,2,1,1,3,4,1,0,0,0,0,4,2,1,0,5,3
"Angunakola",2,1,0,1,1,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,3,0,2,2,1,0,3,0,0,0,0,0,1,1,2,1,3,0,0,0,1,0,1,0,1
"Beliatta",1,4,1,2,4,2,2,2,2,1,1,1,1,1,0,1,0,1,1,0,0,1,1,2,0,1,3,1,2,4,2,1,3,0,2,0,0,1,0,2,2,3,2,3,0,2,0,1,0,0,0,0
"Hambantota",0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,4,0,3,0,2,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,3,1
"Katuwana",5,2,1,1,5,3,2,4,4,0,2,0,3,4,0,2,1,0,0,2,1,0,5,2,0,2,0,3,3,2,5,8,2,8,5,4,2,4,5,3,0,11,2,10,4,3,7,7,1,3,2,1
"Tangalle",1,0,2,6,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,0,1,1,4,1,3,0,3,0,2,2,1,0,2,1,0,0,1,3,2,0,1,2,0,1,0,0,1,0,0,1,0
"Tissamahar",3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,2,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"Walasmulla",3,2,1,2,1,2,5,6,6,2,1,1,3,1,1,2,1,1,0,2,1,3,0,2,3,0,2,1,1,1,3,0,0,1,1,1,0,2,0,2,0,1,0,2,0,0,1,0,1,1,0,1
"Lunugamveh",0,0,3,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,2,0
"Sooriyawew",0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"Weeraketiy",0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Okewela",1,0,0,0,2,0,2,5,1,0,0,1,0,1,0,2,1,0,0,0,0,0,5,0,0,2,0,1,1,0,2,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
"Akuressa",3,1,4,0,5,3,2,4,4,1,2,2,2,1,1,1,1,1,0,1,3,0,2,2,2,3,3,4,2,5,2,4,0,4,0,3,1,0,1,1,1,0,3,7,2,1,1,3,3,2,1,0
"Kotapola",0,5,5,5,0,2,6,5,5,12,11,8,3,7,6,3,6,9,1,6,9,5,5,3,7,3,5,0,7,6,5,8,5,5,2,8,4,1,4,4,0,2,3,5,1,1,0,4,3,1,2,2
"Devinuwara",0,3,1,5,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,1,1,1,0,2,0,4,3,7,1,2,2,0,1,0,0,1,1,1,1
"Dikwella",2,4,6,0,6,1,4,3,2,0,2,0,4,1,0,1,4,0,5,5,2,3,1,2,1,0,4,0,4,2,2,1,1,0,4,1,1,1,2,4,2,0,1,7,1,5,2,1,2,1,1,1
"Hakmana",0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
"Kamburupit",0,1,1,0,2,2,0,1,0,0,0,0,0,1,0,0,2,0,1,1,2,2,1,1,1,1,1,1,1,0,0,2,1,1,0,1,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,1
"Morawaka",4,3,7,10,6,4,6,6,5,3,6,2,8,2,3,9,3,5,1,1,0,4,5,8,6,3,4,1,12,8,6,11,10,11,8,0,5,8,1,3,8,10,3,1,10,3,7,1,1,1,0,1
"Malimboda",1,1,0,3,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,0,1,2,1,2,1,1,1,1,0,0,3,0,1,1,1,0,1,0,0,3,1,0
"PS-Matara",1,2,2,3,1,4,0,2,2,2,0,1,1,0,0,1,2,0,0,0,2,0,1,1,0,0,4,0,0,2,0,3,0,1,1,0,1,0,0,1,1,0,1,0,1,0,2,0,0,0,2,0
"Mulatiyana",0,0,2,0,0,2,3,1,2,1,0,5,1,0,1,3,1,1,1,0,3,0,2,0,0,2,0,3,3,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"Pasgoda",2,3,0,0,1,0,1,4,7,3,1,4,5,4,2,0,9,1,3,2,5,6,1,5,2,2,6,8,6,3,3,4,2,1,2,2,0,2,1,3,2,3,0,0,2,0,0,0,2,6,1,0
"Thihagoda",1,3,2,1,1,0,1,0,2,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,2,4,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,2,0,1
"Welipitiya",1,1,2,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,2,0,0,0,7,1,2,3,0,1,0,0,1,3,0,0,6,4,2,2,2,2,2,0,1,0,1
"Weligama",0,1,3,0,4,3,1,1,4,3,1,0,0,2,4,1,0,1,1,0,0,1,2,0,1,1,4,4,5,6,4,7,9,1,3,2,4,2,3,4,3,3,7,6,8,1,2,0,6,2,2,1
"MC-Matara",15,26,12,18,12,7,11,5,3,0,2,1,4,1,0,2,1,1,0,2,0,5,2,3,2,6,5,5,5,8,19,19,11,13,5,1,12,19,20,10,25,15,28,6,10,8,9,5,9,3,7,4
"Aturaliya",0,3,4,1,1,0,1,2,0,2,0,1,0,0,0,0,0,0,3,1,0,4,2,3,7,2,3,5,5,2,6,2,1,2,4,1,2,4,2,3,1,4,2,0,6,2,2,0,1,4,6,1
"Kirinda-Pu",0,1,1,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Chavakachc",1,1,4,2,0,0,1,0,2,3,0,0,1,0,1,1,0,0,1,2,0,0,0,0,3,3,1,1,0,3,0,0,0,2,1,2,1,1,0,0,3,8,7,6,6,9,6,13,18,5,11,6
"Kayts",1,0,4,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,4,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,3,1,0,2
"Kopay",1,1,1,5,2,2,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,3,1,0,0,1,0,0,2,3,2,3,1,1,1,1,1,0,1,5,0,0,2,0,1,2,3,2,2,2
"MC-Jaffna",2,4,2,3,1,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,5,0,1,1,3,1,1,6,1,5,7,8,7,5,4,8,8,19,9,3,3
"Point-Pedr",2,0,1,2,0,0,1,0,3,1,0,1,0,1,4,4,0,1,0,0,1,1,2,2,1,0,0,1,0,0,2,0,2,1,0,2,0,0,0,1,1,3,3,0,2,0,0,1,1,1,0,1
"Telippalai",4,3,7,4,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,1,2,1,1,3,2,2,4,4,3,1,0
"Nallur",1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,2,3,0,36,19,7,3,2,3,6,37,8,4,2,6
"Uduvil",3,3,10,4,2,3,1,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,3,0,0,1,1,7,4,2,3,2
"Chankanai",0,0,0,2,1,0,0,0,0,2,1,0,3,1,0,0,0,0,0,1,2,0,1,0,0,1,0,1,2,2,0,1,0,0,0,0,2,0,0,0,0,0,1,1,1,2,1,5,2,4,2,1
"Sandilipay",0,5,1,1,2,4,1,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,2,6,4,13,5,9,5,7
"Karaveddy",1,1,0,2,0,0,0,2,1,4,0,2,2,2,4,0,0,0,1,0,3,0,0,2,2,1,1,1,0,2,1,2,1,0,0,1,0,0,2,1,0,0,2,2,0,0,0,3,2,2,4,2
"Velanai",0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,1,1,0,1,1,0,3,2,3
"Kilinochch",5,2,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,5,0,5,6,1,3,0,4,4,1,0,3,1,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0
"Poonakary",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
"Kandavalai",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"Palai",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
"Mannar",11,10,4,5,10,0,2,3,0,1,2,1,4,1,0,2,4,0,1,0,0,2,1,2,0,1,2,0,2,1,0,0,1,0,2,0,0,0,0,0,0,1,1,2,4,2,6,2,6,8,9,7
"Nananthan(",3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,1,2,1,2,1,0,0,0,11,0,2,0,0,0,1,0,1,0,0,0,2,2,0,2,0,0,1,0,1,1,0
"Madhu",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manthalai-",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"Musali",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vavuniya",3,3,5,1,1,1,1,0,1,0,2,1,0,1,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,1,2,3,0,5,3,8,7,1,3,5,3,1,2,0,0,5,1,3,2,1,1,3
"Vavuniya(S",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Cheddikula",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Vavuniya(N",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Mullativu",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,4,0
"Thunukkai-",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oddusuddan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,0,0
"Puthukudiy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0
"Sampathnuw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batticaloa",2,12,17,10,5,11,6,11,3,5,6,2,7,3,4,2,0,6,6,5,1,1,5,2,1,1,0,0,0,0,0,0,2,1,2,1,0,0,4,2,2,4,1,1,5,1,10,3,6,4,5,2
"Chenkalady",10,3,7,10,6,2,4,0,2,3,1,4,1,1,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,5,0,1
"Kalavanchi",2,4,6,3,3,2,3,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,1,0,0,4
"Valachchen",1,3,3,0,2,2,1,0,1,1,0,1,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kattankudy",3,12,18,8,7,2,2,1,3,1,3,1,0,0,1,1,1,1,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Eravoor",15,14,14,7,0,4,1,0,4,0,1,2,3,0,2,1,2,2,2,0,0,3,1,3,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,3,0,0,0,0,1,0,1,2,5,0
"Padippalai",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"Vaunathivu",0,0,3,0,1,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0
"Vakarai",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Vellavelly",3,0,0,6,1,2,0,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,1,1
"Oddamavada",0,2,23,4,3,3,2,2,5,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korali-p(C",2,3,6,9,6,3,2,4,1,1,6,0,2,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arayampath",3,1,5,3,2,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Kiran",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0
"Ampara",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0
"Dehiattaka",1,1,0,1,0,0,2,0,0,1,1,0,0,1,1,0,2,4,6,3,0,2,0,0,0,1,3,0,5,2,0,3,0,0,1,0,3,0,0,0,3,3,1,0,0,0,0,1,0,0,0,1
"Uhana",0,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,1,0,0,3,0,4,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0
"Maha-Oya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Padiyatalw",1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
"Lahugala",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damana",0,0,2,2,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,1,0,2,4,1,2,0,2,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,1,0,0,0
"Trincomale",0,1,0,0,0,0,2,2,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,4,0,2,5,2
"Kantale",1,0,2,0,4,0,2,0,0,1,0,1,1,0,0,1,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,1
"Kinniya",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Padavisiri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Mutur",0,2,0,0,3,0,1,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Seruwila",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Thampalaka",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0
"Gomarankad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Kuchchavel",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echilampat",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uppuveli",0,1,3,0,0,1,0,2,3,0,1,0,2,1,1,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
"Nawalbase(",9,0,0,1,0,1,1,2,1,2,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bingiriya",2,1,2,0,0,2,2,0,1,0,1,0,0,0,0,1,1,0,0,2,0,1,0,3,1,0,0,0,0,1,2,5,1,0,0,0,0,0,1,0,0,0,1,1,0,2,0,2,2,1,2,4
"Galgamuwa",2,0,1,4,0,3,1,3,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,2,1,0,1,2,1,1,4,4,1,0,1,1,0,0,0,0,2,0,2,1,1,3,0,1,1,1,1
"Ibbagamuwa",3,0,5,1,5,0,3,3,1,1,1,0,2,0,1,1,1,2,0,3,1,1,4,0,0,1,9,2,6,1,1,3,2,2,1,1,3,0,2,0,3,1,3,1,3,0,0,5,4,9,3,5
"Kuliyapiti",4,1,3,3,2,4,1,1,3,2,3,4,0,0,1,0,2,0,0,1,2,3,0,1,2,3,1,4,2,2,1,1,0,0,1,0,1,0,1,2,4,2,0,5,3,6,3,2,1,2,1,1
"Kurunegala",4,2,2,7,1,2,13,1,3,1,2,1,4,0,1,1,8,2,6,2,1,3,2,10,15,7,20,16,14,12,9,10,28,23,0,17,15,24,11,14,20,13,3,9,39,28,14,30,26,100,24,31
"Maho",0,0,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0,0,1,3,1,1,2,1,2,2,0,1,0,1,0,2,0,2,0,0,1,1,4,2,2,2,0,2,1
"Mawathagam",0,1,1,0,9,1,1,0,0,0,2,1,0,0,1,0,1,0,0,0,2,2,2,2,4,0,6,4,9,9,4,2,1,0,0,14,6,0,3,9,8,13,2,13,7,11,12,17,13,18,10,14
"Narammala",2,3,1,0,2,0,0,0,2,1,1,1,1,0,0,0,4,4,5,2,1,2,8,2,9,5,9,12,8,7,4,6,0,7,2,6,4,1,4,0,6,3,3,1,2,1,3,3,2,12,6,7
"Nikawerati",4,4,1,5,1,2,1,0,0,0,1,2,2,1,0,0,0,0,2,0,0,6,1,0,1,4,1,0,4,0,2,3,1,1,0,1,1,0,2,1,0,0,1,1,2,0,0,1,3,0,5,3
"Panduwasnu",1,1,0,2,1,2,0,1,0,1,0,2,1,1,0,1,0,0,0,1,0,0,1,0,5,0,1,1,2,0,0,4,1,1,1,0,0,2,1,0,1,1,0,1,0,4,4,0,3,0,1,1
"Pannala",2,2,2,2,3,5,5,1,0,0,0,1,3,2,1,0,1,0,3,0,1,1,0,3,2,1,1,8,6,7,17,9,11,16,9,9,5,1,4,0,6,1,9,1,13,3,3,2,4,11,3,6
"Polgahawel",6,8,1,5,5,3,7,1,7,5,1,6,5,4,6,10,1,0,4,2,8,0,10,18,11,18,18,17,9,11,11,12,5,10,3,10,5,7,9,7,6,12,3,10,7,4,3,3,4,4,12,5
"Polpithiga",0,1,2,3,1,0,2,2,0,1,1,0,2,0,0,0,1,2,2,1,0,2,5,5,4,3,3,2,3,2,3,5,3,0,1,2,3,1,2,0,5,4,2,3,3,0,2,0,0,4,5,4
"Rideegama",2,0,2,0,1,2,2,0,1,0,3,2,0,0,4,3,2,0,3,1,4,0,2,8,9,1,9,9,4,10,7,3,7,1,2,4,1,3,2,2,5,4,1,5,7,5,2,10,7,4,6,3
"Wariyapola",0,1,6,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,2,1,3,0,1,0,1,0,1,1,3,1,3,0,2,1,3,0,4,9,4,0,2,6,1
"Udubaddawa",1,0,0,0,3,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,1,1,0,0,3,1,2,1,0,0,0,0,0,0,1,2,1,0,2,0,1,2,2,0,0,2,0,2,1
"Giribawa",0,0,2,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,2,3,1,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Kotavehara",3,0,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,3,1,0,1,2,1,0,1,0,1,2,3,2,4,1,1,1,1,0,0,1,1,0,0,0,0,1
"Ganewatta",0,0,0,1,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,1,2,0,0,0,1,1
"Alawwa",6,1,0,2,2,0,2,2,1,1,2,1,2,1,2,6,11,13,7,5,16,7,12,9,11,6,10,2,7,3,2,6,4,2,2,3,5,1,1,3,3,5,11,4,4,0,5,5,6,12,7,0
"MC-Kuruneg",0,0,3,7,7,0,1,0,1,0,0,0,1,0,0,0,1,2,0,0,7,1,0,8,5,7,1,9,9,6,4,20,9,15,5,22,17,12,14,8,24,13,8,19,7,17,22,17,24,26,57,2
