"moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"Kuliyapiti",3,2,0,3,1,1,3,3,1,1,2,2,1,0,0,0,1,0,1,1,0,2,0,4,5,0,3,6,6,1,2,1,0,0,0,0,0,1,3,0,1,0,2,0,4,1,1,0,0,0,1,3
"Abanpola",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,1,2,1,1
"Kobeigane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,3,0,1,1,0,2,0,0,2,0,0,0,1,0,2
"Bamunakotu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,3,0,3,1,0,1,0,3,2,0,3,0,4,3,1,1,4,1,0,3,0,4,3,4,4
"Weerambuge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,9,3,3,7,11,6,6,1,5,8,3,2,4,4,3,1,2,2,2,4,1,2,9,4,1
"Anamaduwa",2,3,4,1,1,1,2,1,2,1,1,1,1,0,0,1,1,0,2,0,1,0,1,1,2,0,1,1,0,0,0,0,0,1,0,0,2,0,3,0,2,0,1,3,2,1,2,0,1,2,4,4
"Arachchika",0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0,0,3,3,5,1,2,0,1,0,0,0,0,0,1,0,2,1,0,0,2,1,1,0,4,2,5,1
"Chilaw",5,2,3,5,6,3,2,2,4,3,0,0,1,0,1,1,0,0,0,4,5,0,0,3,3,1,0,3,2,4,2,0,3,2,2,5,0,0,0,1,3,4,5,3,4,4,1,10,18,23,15,7
"Dankotuwa",1,4,4,2,1,0,1,0,0,2,1,0,0,3,1,2,1,3,0,0,1,1,2,1,0,4,0,4,4,4,1,5,8,18,7,4,8,5,4,2,3,7,3,4,2,3,7,3,7,7,2,1
"Kalpitiya",1,3,1,1,3,1,2,3,1,0,1,2,0,0,1,1,3,2,2,13,5,11,7,5,19,7,4,0,0,9,0,0,0,1,1,1,4,3,0,0,0,5,0,2,0,0,2,3,2,2,1,2
"Karuwalaga",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,3,1,2,1
"Marawila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puttalam",9,5,5,4,4,5,5,2,2,0,1,0,0,3,0,2,1,2,0,4,0,1,2,1,1,1,0,0,4,1,0,3,0,1,0,0,0,0,0,0,0,3,1,6,0,4,12,14,50,22,4,10
"Mundel",0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,4,2,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3,3,1,2,5,2,2,7,1,4,4,3,0,0
"Wennappuwa",2,6,20,14,7,10,8,14,4,5,14,0,6,3,2,14,1,1,4,13,12,26,29,23,1,3,7,12,3,6,2,21,17,22,1,62,13,42,14,9,14,13,12,13,20,17,22,18,7,8,2,2
"Mahawewa",1,0,3,2,1,0,1,0,0,2,2,0,1,2,0,1,0,0,0,3,1,3,1,2,0,0,0,1,0,2,0,0,1,0,0,1,0,1,2,2,4,3,2,3,7,4,5,2,6,3,1,0
"Nattandiya",6,0,4,1,1,2,2,2,4,1,0,2,1,2,1,1,3,3,1,4,2,1,1,7,1,0,1,0,2,3,0,7,4,4,2,7,15,32,21,12,10,15,8,3,8,6,4,2,21,4,1,0
"Anuradhapu",1,2,2,2,2,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,2,1,2,2,0,1,0,1,1,0,3,0,0,1,2,0,0,0,1,1,0,0,1,1,4,2,1,9,2,7,5
"Kahatagasd",2,6,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Kekirawa(P",0,2,0,1,3,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"Medawachch",0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0
"Padaviya",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thambutteg",0,0,0,0,2,0,1,0,1,0,0,2,1,1,0,0,0,1,0,0,2,1,0,0,0,2,0,1,2,1,0,0,0,0,1,1,0,0,0,0,4,1,0,0,0,0,1,0,1,2,1,1
"Galnewa",0,0,3,1,1,0,0,0,0,0,0,0,2,1,1,1,0,2,0,1,0,0,0,1,2,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0
"Nochchiyag",0,1,0,0,6,1,1,1,1,0,0,0,0,0,1,1,1,0,2,0,0,2,0,0,2,0,0,0,0,1,0,2,2,0,0,0,3,0,1,1,2,2,1,0,1,0,0,0,1,1,5,1
"Anuradhapu",2,3,0,2,0,2,0,0,1,2,0,0,1,1,1,0,0,2,0,1,1,1,2,2,1,0,0,0,0,2,1,0,1,2,0,2,2,2,0,1,0,1,1,0,1,2,5,1,6,14,17,13
"Mihintale",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,2
"Rajanganay",0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0
"Horowpatha",0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Palagala",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,2,0,0,0
"Kebithigol",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galenbindu",0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,1,1,0,1,2,0,1,2,2,1,0,1,1,0,0,1,1,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,0,1
"Ipalogama",0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Thalawa",0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,1,3,0
"Thirappane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1
"Rambewa",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Dimbulagal",1,0,4,0,3,0,3,0,1,1,0,1,2,1,0,1,1,2,0,3,0,2,2,1,1,1,1,0,2,1,2,2,0,3,0,0,1,0,1,0,0,1,0,0,2,2,2,0,2,3,1,0
"Elahera",0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,2,1,0,3,0,4,2,1,0,4,1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,1,0
"Hingurakgo",0,2,1,0,0,0,4,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,4,0,1,0,1,1,0,0,0,3,0,3,0,0,1,0,3,1,0,1,1,0,0,0,0,1,1,13,2,1
"Lankapura",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0
"Medirigiri",0,0,1,1,0,1,0,1,0,0,0,4,1,0,0,2,1,0,0,1,3,1,3,2,3,2,1,1,3,2,0,0,2,2,2,1,1,0,2,3,1,0,0,0,2,0,0,0,1,1,5,2
"Thamankadu",0,0,3,4,3,4,2,0,0,1,0,0,1,1,0,0,1,0,0,2,1,1,1,0,2,3,1,0,0,0,2,5,0,2,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0,3,1,0
"Welikanda",1,1,1,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0
"Badulla",1,1,1,0,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,6,1,1,1,2,1,0,2,3,2,1,2,1,8,2,3,3,2,0,0,0,4,7,3,5,3,2,3
"Bandarawel",0,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,2,1,2,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Giranduruk",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Hali-Ela",0,2,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,2,0,2,1,2,0,0,0,1,2,0,2,1
"Haputale",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,2,0,0,3,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Mahiyangan",0,3,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"Meegahakiv",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Passara",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,4,1,2,1,1,1,2,1,0,0,1,5,8,0,7,1,3,4,1,4,0,4,4,0,4
"Rideemaliy",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
"Uva-Parana",1,2,0,2,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,2,1,2,0,5,3,4,3,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,2,2,3,1,0
"Welimada",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,1,1,1,1,2,1,0,2,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Ella",2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3
"Soranatota",0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"Haldummull",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0
"Kandaketiy",0,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0
"Lunugala",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,1,0,1
"Lunugala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Badalkumbu",0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,2,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,2,1,0,1
"Bibile",1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,1,0,3,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0
"Monaragala",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,1,4,6,1,1,3,1,0,0,0,0,0,1,1,1,1,1,2,1,2,0,4,1,0,0,0
"Siyambalan",0,1,2,1,0,0,1,0,2,3,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,2,0,0,1,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,3
"Tanamalwil",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,2,1,1,1,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
"Wellawaya",1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,1,4,1,0,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Madulla",2,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,4,0,2,1,2,0,0,0,1,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0
"Medagama",0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,0,1,1,0,1,0,1,2,0,2,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,1
"Buttala",0,0,0,0,2,4,2,3,1,1,0,0,1,0,1,0,1,1,2,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
"Kataragama",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Sevanagala",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1
"Balangoda",0,0,3,4,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,3,3,1,1,2,3,0,0,1,2,2,3,0,0,0,0,0,2,1,4,2,0,1,0,3,2,3,1,1,0
"Eheliyagod",0,0,2,5,2,0,3,1,0,0,2,1,0,0,0,1,3,0,0,10,1,4,5,9,24,13,17,8,10,9,7,9,29,13,11,27,1,9,9,9,3,4,3,1,1,2,6,1,0,4,1,0
"Embilipiti",2,1,0,2,4,4,1,6,3,4,2,2,3,1,2,0,1,4,1,3,2,4,12,10,5,3,6,4,6,2,10,6,5,2,1,1,1,1,3,4,7,7,2,14,15,6,11,10,19,8,22,6
"Godakawela",2,2,4,3,0,5,8,2,2,4,3,2,3,2,0,2,0,0,1,2,0,2,1,5,2,0,2,2,2,4,2,5,5,1,2,3,0,0,0,0,3,3,2,2,1,3,4,5,0,1,5,2
"Kalawana",1,0,0,3,2,1,5,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,5,5,4,3,5,7,5,6,2,4,7,1,0,4,0,2,0,4,1,2,2,5,0,0,3,2,0,0,0,2
"Kuruwita",8,2,3,3,4,2,6,4,8,5,3,3,0,3,2,3,6,7,0,6,11,5,16,25,27,19,16,24,12,18,21,32,18,17,29,22,15,8,4,7,2,8,8,7,8,4,5,3,0,5,0,4
"Nivithigal",4,0,3,1,6,3,1,2,1,0,3,1,3,0,2,7,5,2,2,1,1,5,8,13,6,1,4,2,7,2,1,5,8,4,4,7,7,4,3,0,2,3,3,0,5,9,2,2,1,3,3,2
"Pelmadulla",5,2,2,3,5,2,5,3,3,6,5,6,7,3,0,9,8,7,2,1,11,5,9,31,12,9,20,13,6,11,3,4,4,6,10,2,6,6,2,3,2,2,3,3,4,1,4,4,2,3,4,1
"Ratnapura",3,2,4,3,3,4,5,4,2,2,6,3,3,6,6,3,13,8,17,4,15,42,40,85,32,38,37,57,2,52,25,28,42,11,18,40,21,11,4,9,10,8,17,9,12,6,7,6,8,5,5,0
"Imbulpe",2,0,0,3,0,0,2,1,1,2,1,1,1,0,1,2,1,2,0,1,1,1,0,0,0,4,1,4,0,1,1,1,1,0,0,0,2,0,1,0,1,1,2,5,0,0,1,1,2,1,1,1
"Kolonna",0,1,2,2,1,0,2,2,2,0,0,1,0,1,0,0,0,0,0,2,0,0,3,1,0,3,1,4,1,2,1,1,2,1,0,0,0,0,0,0,0,1,1,0,3,2,0,1,1,4,0,0
"Opanayaka",1,0,1,0,0,1,0,0,1,0,0,2,0,2,0,0,0,1,0,1,1,0,0,2,1,1,0,0,2,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,3,0,1,0,0,1,0,0
"Ayagama",2,1,1,2,2,2,4,7,3,0,4,5,3,11,11,10,14,9,15,7,13,32,11,7,21,8,9,11,10,16,5,19,5,23,11,13,3,4,1,3,0,4,0,5,1,4,0,2,0,1,1,1
"Elapatha",2,0,2,4,1,2,3,3,1,0,4,1,0,3,3,8,1,5,8,8,25,13,45,22,23,12,21,23,16,25,7,20,17,21,14,10,6,9,4,1,3,4,2,2,0,1,3,1,2,1,0,0
"Kiriella",1,0,0,0,0,0,2,0,2,1,2,1,1,2,0,7,1,3,2,5,7,4,5,27,15,1,8,10,4,6,9,6,7,5,6,5,2,3,1,1,0,1,1,3,1,2,0,1,3,2,1,0
"Kahawatte",1,0,0,0,0,4,0,2,0,1,2,3,0,1,3,0,0,2,3,2,2,5,5,0,1,0,3,1,4,2,0,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,3,2,0,0,0,0
"MC-Rathana",6,1,5,1,2,1,1,0,1,6,0,0,0,3,1,2,4,1,0,0,4,9,9,10,6,12,13,19,7,7,5,7,12,8,6,4,0,10,5,0,0,3,7,3,0,2,3,0,2,0,1,3
"Weligepola",0,1,1,1,2,0,2,1,2,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,4,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,3,2,0,0,0,0
"Aranayaka",5,1,5,6,1,4,3,8,0,2,1,0,1,8,0,4,13,3,8,8,10,9,3,19,16,30,19,22,8,8,10,9,11,3,6,5,0,6,1,10,0,3,1,4,1,3,7,3,5,8,1,3
"Dehiowita",0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,0,2,2,1,1,1,4,3,6,3,3,5,6,2,6,2,3,2,3,1,5,1,1,2,5,7,1,0,0,6,2,1,1,3,5,1
"Deraniyaga",2,2,2,1,1,0,3,3,0,1,0,2,2,1,2,3,1,1,1,0,4,6,4,9,13,8,5,6,6,7,14,9,7,5,0,5,6,2,2,1,6,1,2,1,0,1,0,1,1,0,2,1
"Galigamuwa",2,6,7,13,0,4,1,2,3,0,3,1,5,1,4,3,9,2,2,3,9,7,3,5,5,5,5,3,14,3,7,2,2,6,2,4,4,0,3,0,1,3,3,3,0,1,2,2,2,3,5,0
"Kegalle",1,19,11,17,8,11,8,6,8,0,6,3,3,2,0,12,3,2,8,9,7,7,13,18,14,12,0,10,10,6,3,9,4,6,0,7,2,3,1,7,2,1,4,4,1,2,0,6,6,3,0,0
"Mawanella",7,8,7,10,12,7,7,10,7,10,8,9,10,8,4,8,12,13,13,7,13,6,22,30,37,40,37,42,16,13,20,12,15,14,10,16,4,14,18,9,7,9,19,8,8,7,17,6,13,13,7,18
"Rambukkana",3,7,1,8,6,2,6,8,8,0,2,1,3,0,1,6,3,3,4,6,7,12,9,4,7,10,11,5,1,7,11,6,1,5,0,5,3,0,1,2,1,2,2,2,2,1,3,2,2,4,4,3
"Ruwanwella",3,6,2,3,7,3,0,2,3,0,0,3,0,4,0,8,0,4,3,4,2,7,6,11,20,16,8,24,16,9,11,12,16,20,4,15,12,3,6,7,13,7,1,8,9,5,7,7,4,2,6,2
"Warakapola",0,0,1,4,2,1,1,1,1,1,2,2,2,3,2,5,7,6,4,17,6,7,9,10,4,7,2,8,10,4,4,8,3,1,2,2,2,1,2,3,0,1,2,2,3,1,1,0,5,4,2,7
"Yatiyantot",1,0,0,1,1,1,0,2,0,1,0,0,0,0,0,2,5,6,3,4,0,10,6,4,23,3,1,3,4,4,5,3,5,0,5,0,3,5,1,0,0,1,0,1,2,0,0,0,3,1,1,1
"Bulathkohu",0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,5,0,3,3,4,3,1,5,3,3,1,0,4,1,2,0,0,1,1,0,0,1,1,0,0,1,1,1,0,2,0,2,1
"Akkaraipat",0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
"Kalmunai(T",2,2,1,0,2,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Thirukovil",0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Samanthura",1,0,0,1,2,4,1,1,6,0,1,0,1,1,0,0,4,0,0,0,0,0,0,2,3,1,0,0,0,0,2,0,3,0,0,0,0,0,0,1,5,5,6,6,10,6,8,24,31,34,12,21
"Nintavur",1,10,2,10,7,5,1,4,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Kalmunai(M",0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,2,3,4
"Karaitvu",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0
"Alayadivem",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Addalaiche",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pothuvil",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sainthamar",0,1,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,5,8,3,4,0
"Irakkamam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Navithanve",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
