,"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
259,"ADDACHCHENAI",2,"Addalaiche",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,1,11
29,"AGALAWATTA",3,"Agalawatta",3,0,1,1,1,0,2,2,1,3,0,1,1,0,0,0,1,1,0,2,4,0,5,10,3,3,8,5,4,2,2,5,0,0,0,0,0,0,0,1,3,2,0,0,2,0,1,3,1,4,4,1,93
45,"AKKARAIPATTU",4,"Akkaraipattu",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,5,1,14,38,32,71,21,30,12,8,52,295
183,"AKMEEMANA",5,"Akmeemana",0,2,3,2,2,0,0,0,0,0,1,0,1,0,0,1,1,0,2,1,0,0,2,0,1,0,1,3,3,1,1,0,1,2,0,0,1,1,2,0,2,0,4,1,0,1,0,2,0,0,1,0,46
226,"AKURANA",6,"Akurana",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,1,0,3,3,2,4,1,0,2,1,1,1,1,0,1,1,1,6,3,2,0,0,6,3,2,2,2,0,4,60
77,"AKURESSA",7,"Akuressa",0,0,0,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,3,0,0,1,4,0,0,0,3,1,2,1,0,0,2,2,2,1,1,0,3,2,0,0,0,1,0,1,0,0,2,0,0,0,39
44,"ALAWWA",8,"Alaiyadivembu",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,5,4,3,2,5,39
213,"ALAYADIVEMBU",9,"Alawwa",4,3,1,2,3,3,1,2,2,3,2,0,0,2,3,1,2,1,0,2,0,2,7,2,6,10,11,17,8,16,7,4,16,5,2,5,2,8,9,2,0,3,4,1,3,3,5,6,2,5,5,5,218
90,"AMBAGAMUWA",10,"Ambagamuwa",1,5,0,2,0,0,1,1,1,1,0,2,1,0,0,2,1,1,0,4,1,1,1,1,2,8,0,2,3,4,1,0,2,5,1,0,2,0,1,1,1,1,0,0,1,0,2,0,2,0,0,2,68
14,"AMBALANGODA",11,"Ambalangoda",1,3,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,3,3,0,4,1,0,2,2,2,2,1,0,3,0,2,7,4,14,0,16,7,18,1,6,3,0,118
79,"AMBALANTOTA",12,"Ambalantota",3,0,0,2,0,0,1,1,2,1,0,2,2,9,1,0,4,0,2,1,0,1,0,2,0,0,1,4,1,3,0,1,1,0,1,2,0,0,0,0,1,1,2,4,0,1,0,0,0,0,0,0,57
132,"AMBANGANGA KORALE",13,"Ambanganga",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,1,0,1,1,0,2,0,0,13
224,"Ambanpola",14,"Ambanpola",2,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,2,2,0,0,0,20
51,"AMPARA",15,"Ampara",0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,1,4,0,1,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0,1,31
228,"Anamaduwa",16,"Anamaduwa",1,0,1,2,0,1,0,5,0,1,0,1,1,0,0,1,2,0,0,1,1,1,0,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,1,0,1,3,38
159,"ANGUNUKOLAPELES",17,"Angunakolapalessa",0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,1,3,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,2,7,0,0,37
61,,,"Anuradhapu",0,1,3,0,1,1,1,2,1,0,1,2,0,0,0,0,2,0,2,0,0,1,0,2,1,3,2,0,3,5,3,0,3,1,1,0,2,0,1,0,0,0,1,4,2,0,1,1,0,1,5,2,62
255,"Arachchikattuwa",18,"Arachchikattuwa",1,0,0,6,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,3,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,3,0,0,2,0,1,0,1,39
205,"ARANAYAKA",19,"Aranayaka",3,1,1,2,3,0,0,1,0,1,0,0,2,1,0,0,3,0,1,5,5,4,4,6,12,2,3,0,4,6,2,0,6,2,2,0,2,0,3,3,0,0,4,3,8,5,4,2,6,2,9,0,133
47,"ARAYAMPATHY",20,"Arayampathy",0,1,0,0,0,5,0,1,1,1,2,2,1,1,1,3,0,1,1,0,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,2,2,0,40
146,"ATTANAGALLA",22,"Attanagalla",8,16,6,15,2,5,10,9,5,4,3,1,4,4,14,2,6,17,16,40,33,36,28,46,20,23,15,21,21,18,4,13,16,2,19,8,15,3,2,10,5,17,2,14,3,13,10,2,9,13,12,13,653
6,"ATHURALIYA",21,"Aturaliya",0,0,2,1,1,1,0,2,0,1,0,0,0,1,3,0,0,1,0,1,1,2,0,4,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,5,2,39
144,"AYAGAMA",23,"Ayagama",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,0,3,2,1,1,1,0,2,2,0,3,2,4,1,1,0,1,0,2,1,1,1,0,0,0,0,2,0,0,1,40
253,"Badalkumbura",24,"Badalkumbura",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,20
200,"BADDEGAMA",25,"Baddegama",4,1,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,2,2,2,2,6,2,3,5,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,51
280,"Badulla",26,"Badulla",3,2,1,0,3,0,2,5,1,6,1,3,0,0,0,0,0,3,1,0,3,3,3,1,7,1,3,3,1,8,5,2,5,4,4,2,9,6,14,10,10,15,13,19,22,55,19,37,41,47,32,36,471
240,"BALANGODA",27,"Balangoda",5,1,1,6,3,3,3,0,1,1,8,2,6,0,3,0,1,1,0,1,1,1,5,8,11,6,2,8,1,2,3,2,0,0,1,0,2,2,0,1,0,4,2,0,3,3,3,1,1,0,0,0,119
251,"BALAPITIYA",28,"Balapitiya",0,2,2,4,0,3,0,0,3,4,2,0,0,1,1,0,1,2,0,0,0,1,0,1,1,0,0,1,4,2,1,3,3,0,4,2,1,2,2,2,2,1,3,4,1,1,1,5,3,4,4,5,89
204,"BAMBARADENIYA",29,"Bambaradeniya",0,4,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,1,1,2,3,4,2,8,2,0,1,0,1,3,0,3,0,1,2,0,3,9,4,3,1,3,2,5,79
194,"Bamunukotuwa",30,"Bamuna",0,1,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,5,1,0,1,5,0,2,2,0,2,0,0,2,1,1,1,0,1,1,2,1,3,0,5,1,0,2,0,49
2,"BANDARAGAMA",31,"Bandaragama",3,0,7,6,9,8,4,0,3,6,3,4,2,4,6,1,1,1,2,2,5,5,8,11,5,6,9,2,8,4,2,1,2,5,2,3,3,2,3,3,2,3,0,0,4,4,6,2,7,6,6,4,205
168,"Bandarawela",32,"Bandarawela",0,0,1,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,3,1,2,8,3,3,0,2,0,3,1,0,4,1,1,0,3,1,0,1,0,5,3,1,0,2,2,0,3,1,1,0,64
134,"BATTICALOA",34,"Batticaloa",1,2,1,3,3,3,2,6,9,6,7,18,16,6,5,5,8,6,1,4,4,4,6,4,6,12,9,7,5,3,2,1,3,0,1,0,1,0,0,3,0,2,0,3,3,1,3,8,10,10,9,18,250
232,"BELIATTA",35,"Beliatta",1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,0,0,1,4,0,1,3,5,2,1,2,0,3,2,0,0,0,0,0,1,1,3,1,3,2,2,0,4,0,1,0,1,0,53
18,"BERUWALA",37,"Beruwala(North)",14,9,4,5,5,5,0,3,1,8,1,3,3,3,6,0,7,8,2,2,4,33,20,19,8,31,11,21,12,10,7,3,6,6,4,2,1,5,0,0,7,1,7,2,6,1,4,5,5,6,8,2,346
50,"Bibila",38,"Bibile",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,2,0,0,3,0,4,0,0,23
199,"Bingiriya",39,"Bingiriya",6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,1,0,0,1,0,1,0,0,1,1,1,0,4,0,0,2,3,1,0,0,1,1,1,37
3,"BIYAGAMA",40,"Biyagama",7,8,11,6,7,3,5,14,3,5,5,4,2,4,4,1,14,8,4,7,3,17,38,18,0,17,20,7,13,13,16,5,3,14,4,11,6,12,4,12,9,13,13,32,8,13,26,13,8,15,25,9,539
241,,,"Bogawanthalawa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,9
230,"BOPE-PODDALA",42,"Bope-(Podd",0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,0,2,3,1,2,1,2,4,1,0,0,0,0,0,0,0,2,0,3,0,0,4,0,2,1,0,1,1,2,0,0,44
298,"BORALESGAMUWA",43,"Boralesgamuwa",5,9,16,7,6,2,11,11,7,6,6,12,6,4,11,1,3,7,8,18,23,37,24,14,40,27,31,20,25,9,16,7,9,2,10,3,3,5,10,14,9,24,10,10,25,12,17,11,33,8,24,19,687
265,"BULATHKOHUPITIYA",44,"Bulathkohupitiya",0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0,1,1,4,0,2,2,4,4,1,2,2,2,4,1,1,2,2,2,0,0,0,0,1,0,4,0,2,4,0,2,1,2,1,62
314,"BULATHSINHALA",45,"Bulathsinhala",1,1,0,1,0,0,1,0,1,0,0,2,0,0,1,1,0,1,1,0,0,1,0,1,1,3,1,1,3,0,0,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,33
23,"Buttala",46,"Buttala",0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1,2,0,0,3,0,0,2,0,0,1,2,0,0,0,3,4,2,2,0,1,0,1,0,35
262,"CHANKANAI",47,"Chankanai",0,1,0,0,3,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,1,0,1,1,0,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,3,4,2,1,2,4,2,7,51
37,"CHAVAKACHCHERI",48,"Chavakachcheri",3,9,3,2,6,2,3,3,8,4,3,5,0,2,4,1,5,4,3,9,3,6,1,5,6,4,3,4,3,1,3,2,3,1,2,1,6,2,0,3,4,5,1,9,3,3,5,7,7,9,6,8,205
177,"CHEDDIKULAM",49,"Cheddikulam",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,1,3,1,0,14
12,"CHENKALADY",50,"Chenkaladi",0,1,1,1,1,0,0,1,0,1,3,2,2,2,0,2,6,0,1,1,1,1,1,3,8,0,2,2,3,3,3,1,0,1,0,0,0,0,1,0,3,2,2,1,0,1,4,5,4,4,2,3,86
153,"Chilaw",51,"Chilaw",11,4,7,7,3,3,0,0,4,0,0,0,0,0,0,0,3,0,1,1,1,4,1,3,4,6,1,6,1,3,2,1,1,0,1,2,1,4,1,0,3,4,4,8,2,5,8,6,6,6,1,8,148
49,"DAMANA",53,"Damana",0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16
180,"DAMBULLA",54,"Dambulla",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,22
284,"Dankotuwa",55,"Dankotuwa",0,1,1,0,0,2,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0,1,0,2,3,0,1,0,2,1,1,0,5,0,5,2,1,3,4,0,2,2,0,5,3,6,4,6,5,5,83
133,"DEHIYATHAKANDIYA",58,"Dehiattakandiya",0,4,0,1,1,3,1,3,0,0,1,0,1,0,3,1,3,2,1,1,0,2,5,1,1,2,1,2,4,2,2,1,0,3,0,0,0,1,0,3,2,1,1,1,1,1,0,0,1,1,0,0,65
71,"DEHIOVITA",56,"Dehiowita",6,2,0,1,2,3,4,4,4,3,2,2,0,2,2,1,3,3,5,2,3,8,6,27,15,18,12,9,3,9,12,13,15,6,5,4,3,5,3,0,1,0,0,3,6,1,1,0,3,2,0,1,245
173,"DEHIWALA",57,"Dehiwala",93,53,66,49,25,23,17,16,11,8,7,3,2,8,3,7,16,10,24,20,42,75,76,37,53,40,40,36,19,14,12,13,14,8,7,11,8,19,16,12,13,20,18,20,28,29,28,35,22,39,40,23,1328
267,"DERANIYAGALA",60,"Deraniyagala",0,3,2,1,0,0,0,0,1,1,0,0,2,0,1,0,4,1,0,0,3,3,2,4,4,6,3,5,1,6,2,3,2,0,2,1,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,72
289,"DEVINUWARA",61,"Devinuwara",0,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,3,2,0,3,4,7,8,3,3,2,1,2,1,3,1,5,2,5,5,6,5,1,2,3,5,4,5,2,1,101
248,"DICKWELLA",62,"Dikwella",1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,7,1,2,4,2,1,1,0,0,1,0,1,4,8,3,1,1,3,0,0,0,0,0,2,1,2,55
147,"DIMBULAGALA",63,"Dimbulagal",0,4,1,0,3,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,2,3,3,0,4,7,8,6,3,0,4,1,0,1,0,0,2,2,0,4,2,2,2,2,8,2,3,2,1,2,94
222,"WELIVITIYA-DIVITHURA",326,"Divitura/W",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,1,4,2,3,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,32
140,,,"Dodamgoda",1,1,2,1,0,3,1,4,1,1,0,2,0,2,0,3,0,4,2,4,3,4,3,10,2,4,2,4,4,0,2,1,0,3,1,0,1,1,2,0,0,0,0,0,2,1,4,1,0,1,4,2,94
89,"DOLUWA",65,"Doluwa",0,0,2,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,1,1,1,0,2,1,3,3,2,1,0,0,2,2,1,0,2,0,3,0,0,1,2,4,0,0,5,3,1,5,4,0,7,64
216,"DOMPE",66,"Dompe",1,9,5,6,2,3,15,0,4,4,0,4,5,1,0,2,2,6,5,1,17,9,12,8,23,17,10,8,10,10,7,1,6,14,9,2,5,7,3,6,6,4,5,13,4,10,3,7,3,2,6,12,334
119,"DIVULAPITIYA",64,"Duvilipitiya",8,6,2,4,8,2,3,4,4,1,1,1,1,2,1,3,4,1,1,0,4,5,3,4,19,12,11,9,10,48,17,21,13,24,21,13,4,8,8,6,10,12,6,9,5,11,3,12,4,8,7,11,415
229,"EHELIYAGODA",68,"Eheliyagoda",1,3,1,1,0,2,1,1,0,2,0,1,0,0,1,1,3,0,0,1,3,1,10,21,19,17,25,12,11,34,9,21,25,9,4,8,8,6,3,10,1,6,7,0,0,5,2,2,4,0,1,4,307
157,"ELAHERA",69,"Elahera",0,0,2,3,2,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4,2,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,43
143,"ELAPATHA",70,"Elapatha",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,6,28,3,25,14,7,9,5,7,3,6,11,3,3,8,2,0,2,1,2,0,2,0,2,1,0,1,0,0,1,1,2,161
169,"Ella",71,"Ella",2,2,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,3,0,0,3,0,1,0,2,0,1,0,0,0,0,3,1,0,0,1,0,4,2,1,0,1,1,2,2,42
221,"ELPITIYA",72,"Elpitiya",3,2,7,2,0,1,3,11,2,1,0,2,3,0,1,2,0,0,2,0,0,2,5,3,2,6,0,8,2,4,0,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,84
264,"EMBILIPITIYA",73,"Embilipitiya",1,0,3,2,1,0,0,2,1,0,4,2,1,2,1,3,1,2,0,1,8,7,7,16,21,10,6,6,5,2,1,1,2,2,1,1,0,2,0,0,6,0,6,5,0,0,7,14,0,13,10,3,189
106,"ERAVUR",74,"Eravoor",0,2,0,0,2,1,2,1,0,3,2,3,6,6,4,2,5,6,9,18,11,13,5,9,14,5,4,2,1,1,0,0,0,1,0,1,1,2,3,1,3,0,1,3,3,9,6,2,8,6,8,9,204
283,,,"Galagedara",0,1,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,1,3,0,0,0,0,1,3,1,0,1,1,0,0,2,0,0,1,0,1,1,2,2,1,3,2,1,1,0,1,2,0,38
91,,,"Galaha",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,3,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,6,4,0,3,0,29
268,"GALENBIDUNUWAWE",75,"Galenbindunuwewa",1,0,1,0,1,1,2,0,0,1,1,0,2,0,0,2,2,1,0,0,0,0,0,0,0,5,6,1,0,2,1,1,1,2,2,0,1,2,1,1,1,3,0,4,0,1,1,2,2,1,0,2,58
167,"GALEWELA",76,"Galewela",1,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,14,10,5,2,3,2,1,1,1,1,0,0,1,0,0,1,0,0,0,2,0,1,3,2,3,9,3,14,96
107,"Galgamuwa",77,"Galgamuwa",0,2,2,4,2,4,2,1,0,3,2,2,2,2,2,1,1,1,1,0,2,1,4,2,4,10,4,3,3,3,2,0,0,1,2,1,4,2,2,0,0,0,0,3,1,2,5,4,3,0,4,1,107
212,"GALIGAMUWA",78,"Galigamuwa",2,0,1,1,0,1,2,1,0,0,0,2,0,1,0,0,1,2,2,0,3,1,3,8,4,6,5,0,4,3,2,4,3,2,1,0,1,1,2,1,0,2,0,3,2,1,2,2,4,3,1,0,90
15,"GALNEWA",80,"Galnewa",0,1,3,1,0,2,0,1,1,2,0,2,0,1,1,5,4,0,1,0,1,2,5,0,3,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,49
189,"GAMPAHA",81,"Gampaha",21,24,14,20,13,0,14,10,0,8,5,6,4,5,8,0,4,10,8,2,17,19,15,21,18,21,13,16,3,9,7,4,5,11,6,6,8,6,7,10,14,14,15,8,20,14,14,23,11,16,22,12,581
